title,textDisplay,parentId,authorChannelId,authorDisplayName,likeCount,publishedAt
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],Day6-Zombie english ver. it really hits hard especially in this pandemic ^^,Ugz0CFevqaZC5pfE1Dl4AaABAg,UCSq5AvrVL7S5wU8EUCf4KUw,Althea Robles,4,2021-01-28T16:19:06Z
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],@Gopika K Blackpink made an album almost full with English songs this year. Only two or three songs are in Korean. Rose solo coming too will maybe be in English.,Ugz0CFevqaZC5pfE1Dl4AaABAg,UCza_R9Ce4w6srzQPWuyN7oQ,Vera Ps.,10,2021-01-28T19:25:49Z
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],@Vera Ps. Rosè&#39;s is a mini or an full album. I know about Blackpink really well you sound like i don&#39;t know anything. I want hylt in full english thats what I was talking about,Ugz0CFevqaZC5pfE1Dl4AaABAg,UCR3eR7DY8QUQAB2-NdocuvQ,Gopika K,6,2021-01-28T19:31:14Z
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],"@Gopika K omg , you never know in english would be much sadder",Ugz0CFevqaZC5pfE1Dl4AaABAg,UC4RQErWupgzGvAltb8lbh8A,Miss Pooja,6,2021-01-29T07:29:32Z
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],they don’t because they usually use slang not proper grammar in korean so when u translate it into english its weird,Ugz0CFevqaZC5pfE1Dl4AaABAg,UCsunbgKMIP98l-AppPaz_nA,Usha Mula,5,2021-01-29T22:39:14Z
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],@Miss Pooja <br>OMG YOUR USERNAME SKDJSKSJSJSS POOJA WHAT IS THIS BEHAVIOR,Ugz0CFevqaZC5pfE1Dl4AaABAg,UCj1Cn42TScpGm4ACfvY9VeA,morkkeuli,4,2021-02-07T15:21:48Z
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],@Sara S  nooo,Ugz0CFevqaZC5pfE1Dl4AaABAg,UCbpMu_GxXuU3y9dur_iGjJQ,Dome Carguaytongo,0,2021-04-04T16:44:05Z
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],@Dome Carguaytongo ? 👀,Ugz0CFevqaZC5pfE1Dl4AaABAg,UCO0hEmMYGCqrrKokvrLtu8Q,Sara S,0,2021-04-04T16:57:44Z
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],Momoland Starry Night English Ver is Waving,Ugz0CFevqaZC5pfE1Dl4AaABAg,UCPXNHI9bU2XfnF99NVIbp3w,XxProJeff,2,2021-04-19T17:44:39Z
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],@Aditi ikr😂😂<br>I literally wrote that lyrics in my Pol science book,Ugz0CFevqaZC5pfE1Dl4AaABAg,UCjWeNui7GWFa_k6GSrE2YMw,Isha ☆,0,2021-04-27T07:19:35Z
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],yeaaa and also listen to cry for me english version by twice too man,Ugz0CFevqaZC5pfE1Dl4AaABAg,UCP1dPHZwnFG_fZP_SKKK_Lg,woo berry :P,3,2021-07-24T10:50:35Z
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],@woo berry :P yess indeed,Ugz0CFevqaZC5pfE1Dl4AaABAg,UCjWeNui7GWFa_k6GSrE2YMw,Isha ☆,1,2021-07-24T10:52:39Z
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],Bc some people don&#39;t translate the lyrics right,Ugz0CFevqaZC5pfE1Dl4AaABAg,UCCn0F4mZnuASKXsIRVQ94Yw,xiah｡☆,1,2021-08-02T19:45:18Z
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],@Jinkookie it&#39;s the only English version I prefer over the original,Ugz0CFevqaZC5pfE1Dl4AaABAg,UCfYA_G5oB7AqFo0VXFkzfeA,ali luv,1,2021-08-28T20:08:25Z
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],That’s true,Ugz0CFevqaZC5pfE1Dl4AaABAg,UC_DnvJK5h8EVOYiPzFMVIEw,Nimisha Sarvesh,1,2021-11-29T12:05:08Z
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],&quot;SHE JUST WANT ME TO SPOIL HER WITH LOYALTY&quot;,Ugz0CFevqaZC5pfE1Dl4AaABAg,UCWQXwjRklXRMWRAdAnzZyiw,1989abrams,0,2021-12-31T13:49:31Z
